PROGRAMA ORCAMENTARIO;DEPOSITO;DEPARTAMENTO;CÓDIGO;DESCRICAO;MÊS;Qtd
A188_BLINDAGEM;INVESTIMENTO;DPC;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;01/07/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;01/08/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;01/09/2026;4.250
A188_BLINDAGEM;INVESTIMENTO;DPC;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;01/10/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;01/11/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;410041;PARAFUSO AUTO BROC CHAT phillips 4.2x25m;01/12/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/01/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/02/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/03/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/04/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/05/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/06/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/07/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/08/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/09/2026;2.125
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/10/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/11/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;403390;PRENSA CABO PVC 1P;01/12/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/01/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/02/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/03/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/04/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/05/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/06/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/07/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/08/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/09/2026;8.500
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/10/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/11/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405487;TERMINAL TUBULAR CU ESTANHADO 25MM2 AZ;01/12/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;01/01/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;01/02/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;01/03/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;01/04/2026;0
A188_BLINDAGEM;INVESTIMENTO;DPC;405491;TERMINAL TUBULAR CU ESTANHADO 35MM2;01/05/2026;0
